sch_id,name,def,cq_template,paper_template,papercq_template
VerbalClassification,VERBAL CLASSIFICATION,This scheme applies a general rule or property to a specific case based on how the case is classified linguistically.,Is the classification of the case accurate and appropriate? Does the general rule reliably apply to all cases under this classification? Is the classification ambiguous or contested?,"Is it the case that '<subjectA>' '<featF>', or is there room for doubt? Is there a proved relation between situations in which '<featF>' and situations in which '<featG>'? Is it possible for the particular case of '<subjectA>' that '<featG>' is not the case?","Is the classification of the case accurate and appropriate? Does the general rule reliably apply to all cases under this classification? Is the classification ambiguous or contested?

Is it the case that '<subjectA>' '<featF>', or is there room for doubt? Is there a proved relation between situations in which '<featF>' and situations in which '<featG>'? Is it possible for the particular case of '<subjectA>' that '<featG>' is not the case?"
ExpertOpinion,EXPERT OPINION,This scheme concludes that a proposition is true because an expert in the relevant field asserts it.,How credible is the expert as a source? Is the expert an authority in the field relevant to the proposition? What exactly did the expert assert? Is the expert personally reliable and trustworthy? Is the expert’s claim consistent with other experts? Is the expert’s assertion backed by evidence?,"Is '<expertE>' a genuine expert in '<domainD>'? Did '<expertE>' really assert that '<eventA>'? Is '<expertE>'s pronouncement directly quoted? If not, is a reference to the original source given? Can it be checked? If '<expertE>'s advice is not quoted, does it look like important information or qualifications may have been left out? Is what '<expertE>' said clear? Are there technical terms used that are not explained clearly? Is '<eventA>' relevant to domain '<domainD>'? Is '<eventA>' consistent with what other experts in '<domainD>' say? Is '<eventA>' consistent with known evidence in '<domainD>'?","How credible is the expert as a source? Is the expert an authority in the field relevant to the proposition? What exactly did the expert assert? Is the expert personally reliable and trustworthy? Is the expert’s claim consistent with other experts? Is the expert’s assertion backed by evidence?

Is '<expertE>' a genuine expert in '<domainD>'? Did '<expertE>' really assert that '<eventA>'? Is '<expertE>'s pronouncement directly quoted? If not, is a reference to the original source given? Can it be checked? If '<expertE>'s advice is not quoted, does it look like important information or qualifications may have been left out? Is what '<expertE>' said clear? Are there technical terms used that are not explained clearly? Is '<eventA>' relevant to domain '<domainD>'? Is '<eventA>' consistent with what other experts in '<domainD>' say? Is '<eventA>' consistent with known evidence in '<domainD>'?"
Bias,BIAS,"This scheme attacks an argument by alleging that the source is biased, thus undermining its credibility.",Is there clear evidence of bias in the source? Does the alleged bias directly affect the truth of the argument’s conclusion? Could the argument still hold despite the bias?,What evidence is there that '<subjectA>' is '<subjectB>'? Could '<subjectA>' have taken evidence on many sides even if '<subjectA>' is '<subjectB>'? Does the matter of '<event>' require '<subjectA>' to take evidence on many sides?,"Is there clear evidence of bias in the source? Does the alleged bias directly affect the truth of the argument’s conclusion? Could the argument still hold despite the bias?

What evidence is there that '<subjectA>' is '<subjectB>'? Could '<subjectA>' have taken evidence on many sides even if '<subjectA>' is '<subjectB>'? Does the matter of '<event>' require '<subjectA>' to take evidence on many sides?"
Alternatives,ALTERNATIVES,This scheme reasons that one option should be chosen (or avoided) by comparing it to other possible options.,Have all relevant alternatives been considered? Are the alternatives fairly evaluated? Is the chosen alternative clearly superior based on the criteria?,Can '<eventB>' happen even if '<eventA>' is the case? Is '<eventA>' plausibly not the case? What evidence supports this claim?,"Have all relevant alternatives been considered? Are the alternatives fairly evaluated? Is the chosen alternative clearly superior based on the criteria?

Can '<eventB>' happen even if '<eventA>' is the case? Is '<eventA>' plausibly not the case? What evidence supports this claim?"
ArgumentFromAuthority,EXPERT OPINION,"This scheme supports a conclusion based on the assertion of an authoritative figure, often implying expertise or status.",Is the authority credible in the relevant domain? Does the authority’s assertion align with evidence or reason? Is reliance on authority justified over independent evidence?,"Is '<expertE>' a genuine expert in '<domainD>'? Did '<expertE>' really assert that '<eventA>'? Is '<expertE>'s pronouncement directly quoted? If not, is a reference to the original source given? Can it be checked? If '<expertE>'s advice is not quoted, does it look like important information or qualifications may have been left out? Is what '<expertE>' said clear? Are there technical terms used that are not explained clearly? Is '<eventA>' relevant to domain '<domainD>'? Is '<eventA>' consistent with what other experts in '<domainD>' say? Is '<eventA>' consistent with known evidence in '<domainD>'?","Is the authority credible in the relevant domain? Does the authority’s assertion align with evidence or reason? Is reliance on authority justified over independent evidence?

Is '<expertE>' a genuine expert in '<domainD>'? Did '<expertE>' really assert that '<eventA>'? Is '<expertE>'s pronouncement directly quoted? If not, is a reference to the original source given? Can it be checked? If '<expertE>'s advice is not quoted, does it look like important information or qualifications may have been left out? Is what '<expertE>' said clear? Are there technical terms used that are not explained clearly? Is '<eventA>' relevant to domain '<domainD>'? Is '<eventA>' consistent with what other experts in '<domainD>' say? Is '<eventA>' consistent with known evidence in '<domainD>'?"
PopularPractice,POPULAR PRACTICE,This scheme justifies an action or belief because it is commonly practiced by many people.,Is the practice widespread enough to be considered popular? Does the practice’s popularity indicate its correctness or value? Are there reasons the practice might be flawed despite its popularity?,"What actions or other indications show that '<large_majority>' accept that '<eventA>' is the right thing to do? Even if '<large_majority>' accepts '<eventA>' is the right thing to do, are there grounds for thinking they are justified in accepting it as a prudent course of action?","Is the practice widespread enough to be considered popular? Does the practice’s popularity indicate its correctness or value? Are there reasons the practice might be flawed despite its popularity?

What actions or other indications show that '<large_majority>' accept that '<eventA>' is the right thing to do? Even if '<large_majority>' accepts '<eventA>' is the right thing to do, are there grounds for thinking they are justified in accepting it as a prudent course of action?"
PositiveConsequences,POSITIVE CONSEQUENCES,This scheme argues for an action because it will plausibly lead to good outcomes,Are the positive consequences likely to occur? Are there potential negative consequences that outweigh the positive ones? Is the assessment of the consequences as positive well-founded?,"If '<eventA>', will '<eventB>' occur? What evidence supports this claim? How likely are the consequences? What other consequences should also be taken into account if '<neg>' '<eventA>'?","Are the positive consequences likely to occur? Are there potential negative consequences that outweigh the positive ones? Is the assessment of the consequences as positive well-founded?

If '<eventA>', will '<eventB>' occur? What evidence supports this claim? How likely are the consequences? What other consequences should also be taken into account if '<neg>' '<eventA>'?"
CircumstantialAdHominem,CIRCUMSTANTIAL AD HOMINEM,This scheme attacks an opponent’s argument by alleging inconsistency between their actions and their stated position.,Is the alleged inconsistency real and relevant to the argument? Does the inconsistency undermine the argument’s validity? Could the argument still hold despite the personal inconsistency?,Does '<argument1>' imply '<eventA>'? Can the practical inconsistency between '<subjectA>'s commitments and '<eventA>' be identified? Can it be shown by evidence? Could it be explained by further dialogue? Does the inconsistency between '<subjectA>'s commitments and '<eventA>' result in a decrease of credibility for '<subjectA>'? Does '<subjectA>'s argument depend on its credibility in this context?,"Is the alleged inconsistency real and relevant to the argument? Does the inconsistency undermine the argument’s validity? Could the argument still hold despite the personal inconsistency?

Does '<argument1>' imply '<eventA>'? Can the practical inconsistency between '<subjectA>'s commitments and '<eventA>' be identified? Can it be shown by evidence? Could it be explained by further dialogue? Does the inconsistency between '<subjectA>'s commitments and '<eventA>' result in a decrease of credibility for '<subjectA>'? Does '<subjectA>'s argument depend on its credibility in this context?"
PositionToKnow,POSITION TO KNOW,"This scheme concludes a proposition is true because the source is in a position to know about it (e.g., firsthand experience).",Is the source genuinely in a position to know about the proposition? Is the source honest and trustworthy? Did the source actually assert the proposition?,"Is '<subjectA>' in a position to know whether '<eventA>'? Is '<subjectA>' an honest (trustworthy, reliable) source? Did '<subjectA>' assert that '<eventA>'?","Is the source genuinely in a position to know about the proposition? Is the source honest and trustworthy? Did the source actually assert the proposition?

Is '<subjectA>' in a position to know whether '<eventA>'? Is '<subjectA>' an honest (trustworthy, reliable) source? Did '<subjectA>' assert that '<eventA>'?"
GenericAdHominem,GENERIC AD HOMINEM,This scheme undermines an argument by attacking the character or credibility of the arguer.,Is the character flaw relevant to the argument’s validity? Is there evidence supporting the attack on the arguer’s character? Could the argument stand independently of the arguer’s character?,How does the allegation made affect the reliability of '<subjectA>'? Is the reliability of '<subjectA>' relevant in the current dialogue?,"Is the character flaw relevant to the argument’s validity? Is there evidence supporting the attack on the arguer’s character? Could the argument stand independently of the arguer’s character?

How does the allegation made affect the reliability of '<subjectA>'? Is the reliability of '<subjectA>' relevant in the current dialogue?"
DirectAdHominem,DIRECT AD HOMINEM,"This scheme directly attacks the arguer personally (e.g., calling them a liar) to discredit their argument.",Does the personal attack relate to the argument’s content? Is the attack substantiated with evidence? Can the argument be evaluated apart from the personal attack?,Does '<argument1>' imply '<eventA>'? Can the practical inconsistency between '<subjectA>'s commitments and '<eventA>' be identified? Can it be shown by evidence? Could it be explained by further dialogue? Does the inconsistency between '<subjectA>'s commitments and '<eventA>' result in a decrease of credibility for '<subjectA>'? Does '<subjectA>'s argument depend on its credibility in this context?,"Does the personal attack relate to the argument’s content? Is the attack substantiated with evidence? Can the argument be evaluated apart from the personal attack?

Does '<argument1>' imply '<eventA>'? Can the practical inconsistency between '<subjectA>'s commitments and '<eventA>' be identified? Can it be shown by evidence? Could it be explained by further dialogue? Does the inconsistency between '<subjectA>'s commitments and '<eventA>' result in a decrease of credibility for '<subjectA>'? Does '<subjectA>'s argument depend on its credibility in this context?"
NegativeConsequences,NEGATIVE CONSEQUENCES,This scheme argues against an action because it will lead to bad outcomes.,Are the negative consequences probable? Are there positive consequences that might offset the negative ones? Is the judgment of the consequences as negative reasonable?,"If '<eventA>', will '<eventB>' occur? What evidence supports this claim? How likely are the consequences? What other consequences should also be taken into account if '<neg>' '<eventA>'?","Are the negative consequences probable? Are there positive consequences that might offset the negative ones? Is the judgment of the consequences as negative reasonable?

If '<eventA>', will '<eventB>' occur? What evidence supports this claim? How likely are the consequences? What other consequences should also be taken into account if '<neg>' '<eventA>'?"
SignFromOtherEvents,SIGN,This scheme infers a conclusion from events or signs that indirectly indicate a condition or outcome.,Do the events reliably point to the conclusion? Could the events be explained by something else? Are the events sufficiently connected to the conclusion?,Is there a proved relation between '<eventB>' and '<eventA>'? Are there any events other than '<eventB>' that would more reliably account for '<eventA>'?,"Do the events reliably point to the conclusion? Could the events be explained by something else? Are the events sufficiently connected to the conclusion?

Is there a proved relation between '<eventB>' and '<eventA>'? Are there any events other than '<eventB>' that would more reliably account for '<eventA>'?"
Ad hominem,AD HOMINEM,"This scheme attacks a person’s character, circumstances, or credibility to undermine their argument, rather than directly refuting its content, within a dialogical exchange.",Is the attack relevant to the argument’s validity? Is the personal critique supported by evidence? Can the argument stand despite the attack?,Does '<argument1>' imply '<eventA>'? Can the practical inconsistency between '<subjectA>'s commitments and '<eventA>' be identified? Can it be shown by evidence? Could it be explained by further dialogue? Does the inconsistency between '<subjectA>'s commitments and '<eventA>' result in a decrease of credibility for '<subjectA>'? Does '<subjectA>'s argument depend on its credibility in this context?,"Is the attack relevant to the argument’s validity? Is the personal critique supported by evidence? Can the argument stand despite the attack?

Does '<argument1>' imply '<eventA>'? Can the practical inconsistency between '<subjectA>'s commitments and '<eventA>' be identified? Can it be shown by evidence? Could it be explained by further dialogue? Does the inconsistency between '<subjectA>'s commitments and '<eventA>' result in a decrease of credibility for '<subjectA>'? Does '<subjectA>'s argument depend on its credibility in this context?"
